racename,riderposition,ridername,riderteam
Eschborn-Frankfurt,1,MATTHEWS Michael,Team Jayco AlUla
Eschborn-Frankfurt,2,CORT Magnus,Uno-X Mobility
Eschborn-Frankfurt,3,BARRENETXEA Jon,Movistar Team
Eschborn-Frankfurt,4,POWLESS Neilson,EF Education - EasyPost
Eschborn-Frankfurt,5,WANDAHL Frederik,Red Bull - BORA - hansgrohe
Eschborn-Frankfurt,6,WITHEN PHILIPSEN Albert,Lidl - Trek
Eschborn-Frankfurt,7,OLDANI Stefano,Cofidis
Eschborn-Frankfurt,8,HIRSCHI Marc,Tudor Pro Cycling Team
Eschborn-Frankfurt,9,DENZ Nico,Red Bull - BORA - hansgrohe
Eschborn-Frankfurt,10,BARGUIL Warren,Team Picnic PostNL
Eschborn-Frankfurt,11,COVI Alessandro,UAE Team Emirates - XRG
Eschborn-Frankfurt,12,ZAMBANINI Edoardo,Bahrain - Victorious
Eschborn-Frankfurt,13,HOULE Hugo,Israel - Premier Tech
Eschborn-Frankfurt,14,CHRISTEN Fabio,Q36.5 Pro Cycling Team
Eschborn-Frankfurt,15,GUERREIRO Ruben,Movistar Team
Eschborn-Frankfurt,16,LASTRA Jonathan,Cofidis
Eschborn-Frankfurt,17,VELASCO Simone,XDS Astana Team
Eschborn-Frankfurt,18,ARANBURU Alex,Cofidis
Eschborn-Frankfurt,19,MEURISSE Xandro,Alpecin - Deceuninck
Eschborn-Frankfurt,20,DE LA CRUZ David,Q36.5 Pro Cycling Team
Eschborn-Frankfurt,21,SAMITIER Sergio,Cofidis
Eschborn-Frankfurt,22,PESCADOR Diego,Movistar Team
Eschborn-Frankfurt,23,HERZOG Emil,Red Bull - BORA - hansgrohe
Eschborn-Frankfurt,24,DVERSNES Fredrik,Uno-X Mobility
Eschborn-Frankfurt,25,LEKNESSUND Andreas,Uno-X Mobility
Eschborn-Frankfurt,26,ENGELHARDT Felix,Team Jayco AlUla
Eschborn-Frankfurt,27,BADILATTI Matteo,Q36.5 Pro Cycling Team
Eschborn-Frankfurt,28,DE PRETTO Davide,Team Jayco AlUla
Eschborn-Frankfurt,29,SCHACHMANN Maximilian,Soudal Quick-Step
Eschborn-Frankfurt,30,TRÆEN Torstein,Bahrain - Victorious
Eschborn-Frankfurt,31,MÜHLBERGER Gregor,Movistar Team
Eschborn-Frankfurt,32,VALGREN Michael,EF Education - EasyPost
Eschborn-Frankfurt,33,ALEOTTI Giovanni,Red Bull - BORA - hansgrohe
Eschborn-Frankfurt,34,CATTANEO Mattia,Soudal Quick-Step
Eschborn-Frankfurt,35,NYS Thibau,Lidl - Trek
Eschborn-Frankfurt,36,BUSATTO Francesco,Intermarché - Wanty
Eschborn-Frankfurt,37,MORGADO António,UAE Team Emirates - XRG
Eschborn-Frankfurt,38,LØLAND Sakarias Koller,Uno-X Mobility
Eschborn-Frankfurt,39,HONORÉ Mikkel Frølich,EF Education - EasyPost
Eschborn-Frankfurt,40,PLUIMERS Rick,Tudor Pro Cycling Team
Eschborn-Frankfurt,41,ANDRESEN Tobias Lund,Team Picnic PostNL
Eschborn-Frankfurt,42,ADRIÀ Roger,Red Bull - BORA - hansgrohe
Eschborn-Frankfurt,43,GELDERS Gil,Soudal Quick-Step
Eschborn-Frankfurt,44,RUTSCH Jonas,Intermarché - Wanty
Eschborn-Frankfurt,45,SERRANO Gonzalo,Movistar Team
Eschborn-Frankfurt,46,ZIMMERMANN Georg,Intermarché - Wanty
Eschborn-Frankfurt,47,VERSTRYNGE Emiel,Alpecin - Deceuninck
Eschborn-Frankfurt,48,GONZÁLEZ David,Q36.5 Pro Cycling Team
Eschborn-Frankfurt,49,BAX Sjoerd,Q36.5 Pro Cycling Team
Eschborn-Frankfurt,50,MULUBRHAN Henok,XDS Astana Team
Eschborn-Frankfurt,51,POLITT Nils,UAE Team Emirates - XRG
Eschborn-Frankfurt,52,KRAGH ANDERSEN Søren,Lidl - Trek
Eschborn-Frankfurt,53,VERMEERSCH Florian,UAE Team Emirates - XRG
Eschborn-Frankfurt,54,RIES Michel,Arkéa - B&B Hotels
Eschborn-Frankfurt,55,RACCAGNI NOVIERO Andrea,Soudal Quick-Step
Eschborn-Frankfurt,56,HUBY Antoine,Soudal Quick-Step
Eschborn-Frankfurt,57,BAGIOLI Andrea,Lidl - Trek
Eschborn-Frankfurt,58,JOHANNESSEN Anders Halland,Uno-X Mobility
Eschborn-Frankfurt,59,LAENGEN Vegard Stake,UAE Team Emirates - XRG
Eschborn-Frankfurt,60,OLIVEIRA Rui,UAE Team Emirates - XRG
Eschborn-Frankfurt,61,SMITH Dion,Intermarché - Wanty
Eschborn-Frankfurt,62,VANHOUCKE Harm,Q36.5 Pro Cycling Team
Eschborn-Frankfurt,63,TEUNS Dylan,Cofidis
Eschborn-Frankfurt,64,KIELICH Timo,Alpecin - Deceuninck
Eschborn-Frankfurt,65,DOUBLE Paul,Team Jayco AlUla
Eschborn-Frankfurt,66,DE MARCHI Alessandro,Team Jayco AlUla
Eschborn-Frankfurt,67,MOHORIČ Matej,Bahrain - Victorious
Eschborn-Frankfurt,68,PEREZ Anthony,Cofidis
Eschborn-Frankfurt,69,ALAPHILIPPE Julian,Tudor Pro Cycling Team
Eschborn-Frankfurt,70,HOLTER Ådne,Uno-X Mobility
Eschborn-Frankfurt,71,ERMAKOV Roman,Bahrain - Victorious
Eschborn-Frankfurt,72,WEISS Fabian,Tudor Pro Cycling Team
Eschborn-Frankfurt,73,VERMAERKE Kevin,Team Picnic PostNL
Eschborn-Frankfurt,74,SVESTAD-BÅRDSENG Embret,Arkéa - B&B Hotels
Eschborn-Frankfurt,75,KAMP Alexander,Intermarché - Wanty
Eschborn-Frankfurt,76,MACKELLAR Alastair,EF Education - EasyPost
Eschborn-Frankfurt,77,KANTER Max,XDS Astana Team
Eschborn-Frankfurt,78,VAN ASBROECK Tom,Israel - Premier Tech
Eschborn-Frankfurt,79,TEUNISSEN Mike,XDS Astana Team
Eschborn-Frankfurt,80,BIERMANS Jenthe,Arkéa - B&B Hotels
Eschborn-Frankfurt,81,ROMELE Alessandro,XDS Astana Team
Eschborn-Frankfurt,82,VERNON Ethan,Israel - Premier Tech
Eschborn-Frankfurt,83,TEUTENBERG Tim Torn,Lidl - Trek
Eschborn-Frankfurt,84,SIMMONS Colby,EF Education - EasyPost
Eschborn-Frankfurt,85,GLIVAR Gal,Alpecin - Deceuninck
Eschborn-Frankfurt,86,HOLLMANN Juri,Alpecin - Deceuninck
Eschborn-Frankfurt,87,KRIEGER Alexander,Tudor Pro Cycling Team
Eschborn-Frankfurt,88,ERIKSSON Lucas,Tudor Pro Cycling Team
Eschborn-Frankfurt,89,VAN SINTMAARTENSDIJK Roel,Intermarché - Wanty
Eschborn-Frankfurt,90,MARIT Arne,Intermarché - Wanty
Eschborn-Frankfurt,91,MAGNIER Paul,Soudal Quick-Step
Eschborn-Frankfurt,92,DHONDT Robbe,Team Picnic PostNL
Eschborn-Frankfurt,500,SU Haoyu,XDS Astana Team
Eschborn-Frankfurt,500,PASQUALON Andrea,Bahrain - Victorious
Eschborn-Frankfurt,500,TU Sergio,Bahrain - Victorious
Eschborn-Frankfurt,500,DURBRIDGE Luke,Team Jayco AlUla
Eschborn-Frankfurt,500,URIANSTAD BUGGE Martin,Uno-X Mobility
Eschborn-Frankfurt,500,WILLIAMS Stephen,Israel - Premier Tech
Eschborn-Frankfurt,500,ACKERMANN Pascal,Israel - Premier Tech
Eschborn-Frankfurt,500,SCHWARZMANN Michael,Israel - Premier Tech
Eschborn-Frankfurt,500,STEWART Jake,Israel - Premier Tech
Eschborn-Frankfurt,500,GARCÍA CORTINA Iván,Movistar Team
Eschborn-Frankfurt,500,LEIJNSE Enzo,Team Picnic PostNL
Eschborn-Frankfurt,500,BATTISTELLA Samuele,EF Education - EasyPost
Eschborn-Frankfurt,500,GRONDIN Donovan,Arkéa - B&B Hotels
Eschborn-Frankfurt,500,SÉNÉCHAL Florian,Arkéa - B&B Hotels
Eschborn-Frankfurt,500,THIERRY Pierre,Arkéa - B&B Hotels
Eschborn-Frankfurt,500,FROIDEVAUX Robin,Tudor Pro Cycling Team
Eschborn-Frankfurt,500,EEKHOFF Nils,Team Picnic PostNL
Eschborn-Frankfurt,500,GESBERT Élie,Arkéa - B&B Hotels
Eschborn-Frankfurt,500,OURSELIN Paul,Cofidis
Eschborn-Frankfurt,500,PHILIPSEN Jasper,Alpecin - Deceuninck
Eschborn-Frankfurt,500,SCHMID Mauro,Team Jayco AlUla
Eschborn-Frankfurt,500,BARTA Will,Movistar Team
Eschborn-Frankfurt,500,FLYNN Sean,Team Picnic PostNL
Eschborn-Frankfurt,500,STANNARD Robert,Bahrain - Victorious
Eschborn-Frankfurt,500,BRAMBILLA Gianluca,Q36.5 Pro Cycling Team
Eschborn-Frankfurt,500,GOGL Michael,Alpecin - Deceuninck
Eschborn-Frankfurt,500,PITHIE Laurence,Red Bull - BORA - hansgrohe
Eschborn-Frankfurt,500,WELSFORD Sam,Red Bull - BORA - hansgrohe
Eschborn-Frankfurt,500,ROOTKIN-GRAY Jack,EF Education - EasyPost
Eschborn-Frankfurt,500,CONSONNI Simone,Lidl - Trek
Eschborn-Frankfurt,500,DECLERCQ Tim,Lidl - Trek
Eschborn-Frankfurt,500,WARLOP Jordi,Soudal Quick-Step
Eschborn-Frankfurt,500,BOL Cees,XDS Astana Team
Eschborn-Frankfurt,501,WELLENS Tim,UAE Team Emirates - XRG
Tour de Romandie,1,ALMEIDA João,UAE Team Emirates - XRG
