racename,riderposition,ridername,riderteam
Santos Tour Down Under,1,NARVÁEZ Jhonatan,UAE Team Emirates - XRG
Santos Tour Down Under,2,ROMO Javier,Movistar Team
Santos Tour Down Under,3,FISHER-BLACK Finn,Red Bull - BORA - hansgrohe
Santos Tour Down Under,4,ONLEY Oscar,Team Picnic PostNL
Santos Tour Down Under,5,TRONCHON Bastien,Decathlon AG2R La Mondiale Team
Santos Tour Down Under,6,PLAPP Luke,Team Jayco AlUla
Santos Tour Down Under,7,SHEFFIELD Magnus,INEOS Grenadiers
Santos Tour Down Under,8,GLOAG Thomas,Team Visma | Lease a Bike
Santos Tour Down Under,9,KONRAD Patrick,Lidl - Trek
Santos Tour Down Under,10,WOODS Michael,Israel - Premier Tech
Santos Tour Down Under,11,VINE Jay,UAE Team Emirates - XRG
Santos Tour Down Under,12,ROCHAS Rémy,Groupama - FDJ
Santos Tour Down Under,13,MOLLEMA Bauke,Lidl - Trek
Santos Tour Down Under,14,HARPER Chris,Team Jayco AlUla
Santos Tour Down Under,15,EULÁLIO Afonso,Bahrain - Victorious
Santos Tour Down Under,16,PORTER Rudy,Australia
Santos Tour Down Under,17,WITHEN PHILIPSEN Albert,Lidl - Trek
Santos Tour Down Under,18,ZIMMERMANN Georg,Intermarché - Wanty
Santos Tour Down Under,19,MARRIAGE Zac,Australia
Santos Tour Down Under,20,LECERF Junior,Soudal Quick-Step
Santos Tour Down Under,21,STRONG Corbin,Israel - Premier Tech
Santos Tour Down Under,22,TORRES Pablo,UAE Team Emirates - XRG
Santos Tour Down Under,23,HIGUITA Sergio,XDS Astana Team
Santos Tour Down Under,24,BAGIOLI Andrea,Lidl - Trek
Santos Tour Down Under,25,IZAGIRRE Ion,Cofidis
Santos Tour Down Under,26,CHAVES Esteban,EF Education - EasyPost
Santos Tour Down Under,27,GLIVAR Gal,Alpecin - Deceuninck
Santos Tour Down Under,28,NERURKAR Lukas,EF Education - EasyPost
Santos Tour Down Under,29,RODRÍGUEZ Cristián,Arkéa - B&B Hotels
Santos Tour Down Under,30,BENNETT George,Israel - Premier Tech
Santos Tour Down Under,31,MULUBRHAN Henok,XDS Astana Team
Santos Tour Down Under,32,PACHER Quentin,Groupama - FDJ
Santos Tour Down Under,33,TESFATSION Natnael,Movistar Team
Santos Tour Down Under,34,HUISING Menno,Team Visma | Lease a Bike
Santos Tour Down Under,35,ZWIEHOFF Ben,Red Bull - BORA - hansgrohe
Santos Tour Down Under,36,DE POOTER Dries,Intermarché - Wanty
Santos Tour Down Under,37,VERRE Alessandro,Arkéa - B&B Hotels
Santos Tour Down Under,38,GRAAT Tijmen,Team Visma | Lease a Bike
Santos Tour Down Under,39,BROWNING Fergus,Australia
Santos Tour Down Under,40,SCHMID Mauro,Team Jayco AlUla
Santos Tour Down Under,41,HOWSON Damien,Australia
Santos Tour Down Under,42,BRENNAN Matthew,Team Visma | Lease a Bike
Santos Tour Down Under,43,GODON Dorian,Decathlon AG2R La Mondiale Team
Santos Tour Down Under,44,KOERDT Bjorn,Team Picnic PostNL
Santos Tour Down Under,45,TJØTTA Martin,Arkéa - B&B Hotels
Santos Tour Down Under,46,CANAL Carlos,Movistar Team
Santos Tour Down Under,47,BYSTRØM Sven Erik,Groupama - FDJ
Santos Tour Down Under,48,SMITH Dion,Intermarché - Wanty
Santos Tour Down Under,49,LAPEIRA Paul,Decathlon AG2R La Mondiale Team
Santos Tour Down Under,50,LEEMREIZE Gijs,Team Picnic PostNL
Santos Tour Down Under,51,HERRADA Jesús,Cofidis
Santos Tour Down Under,52,KWIATKOWSKI Michał,INEOS Grenadiers
Santos Tour Down Under,53,WILLIAMS Stephen,Israel - Premier Tech
Santos Tour Down Under,54,HUBY Antoine,Soudal Quick-Step
Santos Tour Down Under,55,ASKEY Lewis,Groupama - FDJ
Santos Tour Down Under,56,LABROSSE Jordan,Decathlon AG2R La Mondiale Team
Santos Tour Down Under,57,STANNARD Robert,Bahrain - Victorious
Santos Tour Down Under,58,MACKELLAR Alastair,EF Education - EasyPost
Santos Tour Down Under,59,MOSCA Jacopo,Lidl - Trek
Santos Tour Down Under,60,OURSELIN Paul,Cofidis
Santos Tour Down Under,61,GATE Aaron,XDS Astana Team
Santos Tour Down Under,62,UHLIG Henri,Alpecin - Deceuninck
Santos Tour Down Under,63,PITHIE Laurence,Red Bull - BORA - hansgrohe
Santos Tour Down Under,64,VAN DEN BOSSCHE Fabio,Alpecin - Deceuninck
Santos Tour Down Under,65,HAMILTON Lucas,INEOS Grenadiers
Santos Tour Down Under,66,SWIFT Connor,INEOS Grenadiers
Santos Tour Down Under,67,BETTIOL Alberto,XDS Astana Team
Santos Tour Down Under,68,PESCADOR Diego,Movistar Team
Santos Tour Down Under,69,PEDERSEN Casper,Soudal Quick-Step
Santos Tour Down Under,70,DAVY Clément,Groupama - FDJ
Santos Tour Down Under,71,BELOKI Markel,EF Education - EasyPost
Santos Tour Down Under,72,SERRY Pieter,Soudal Quick-Step
Santos Tour Down Under,73,O'BRIEN Kelland,Team Jayco AlUla
Santos Tour Down Under,74,BUSATTO Francesco,Intermarché - Wanty
Santos Tour Down Under,75,VENDRAME Andrea,Decathlon AG2R La Mondiale Team
Santos Tour Down Under,76,ROULAND Louis,Arkéa - B&B Hotels
Santos Tour Down Under,77,WATSON Samuel,INEOS Grenadiers
Santos Tour Down Under,78,SWIFT Ben,INEOS Grenadiers
Santos Tour Down Under,79,ERMAKOV Roman,Bahrain - Victorious
Santos Tour Down Under,80,TEUTENBERG Tim Torn,Lidl - Trek
Santos Tour Down Under,81,SCHULTZ Nick,Israel - Premier Tech
Santos Tour Down Under,82,PAASSCHENS Mathijs,Bahrain - Victorious
Santos Tour Down Under,83,BAYER Tobias,Alpecin - Deceuninck
Santos Tour Down Under,84,VAN POPPEL Danny,Red Bull - BORA - hansgrohe
Santos Tour Down Under,85,WALKER Max,EF Education - EasyPost
Santos Tour Down Under,86,EENKHOORN Pascal,Soudal Quick-Step
Santos Tour Down Under,87,BOUCHARD Geoffrey,Decathlon AG2R La Mondiale Team
Santos Tour Down Under,88,ANDRESEN Tobias Lund,Team Picnic PostNL
Santos Tour Down Under,89,COQUARD Bryan,Cofidis
Santos Tour Down Under,90,SOLER Marc,UAE Team Emirates - XRG
Santos Tour Down Under,91,RENARD Alexis,Cofidis
Santos Tour Down Under,92,BOVEN Lars,Alpecin - Deceuninck
Santos Tour Down Under,93,VAN DER LEE Jardi Christiaan,EF Education - EasyPost
Santos Tour Down Under,94,WALLS Matthew,Groupama - FDJ
Santos Tour Down Under,95,CONCI Nicola,XDS Astana Team
Santos Tour Down Under,96,EDMONDSON Alex,Team Picnic PostNL
Santos Tour Down Under,97,EDDY Patrick,Team Picnic PostNL
Santos Tour Down Under,98,OLIVEIRA Rui,UAE Team Emirates - XRG
Santos Tour Down Under,99,EPIS Giosuè,Arkéa - B&B Hotels
Santos Tour Down Under,100,BLEDDYN Oliver,Australia
Santos Tour Down Under,101,ARNDT Nikias,Bahrain - Victorious
Santos Tour Down Under,102,BAUHAUS Phil,Bahrain - Victorious
Santos Tour Down Under,103,MÜHLBERGER Gregor,Movistar Team
Santos Tour Down Under,104,CÔTÉ Pier-André,Israel - Premier Tech
Santos Tour Down Under,105,MARIT Arne,Intermarché - Wanty
Santos Tour Down Under,106,CLARKE Simon,Israel - Premier Tech
Santos Tour Down Under,107,TODOME Yuhi,EF Education - EasyPost
Santos Tour Down Under,108,RACCAGNI NOVIERO Andrea,Soudal Quick-Step
Santos Tour Down Under,109,VAN DEN BERG Julius,Team Picnic PostNL
Santos Tour Down Under,110,ISIDORE Noa,Decathlon AG2R La Mondiale Team
Santos Tour Down Under,111,SCOTT Cameron,Australia
Santos Tour Down Under,112,SCHELLING Ide,XDS Astana Team
Santos Tour Down Under,113,MAAS Jan,Cofidis
Santos Tour Down Under,114,WELSFORD Sam,Red Bull - BORA - hansgrohe
Santos Tour Down Under,115,DEBRUYNE Ramses,Alpecin - Deceuninck
Santos Tour Down Under,116,MAHOUDO Nolann,Cofidis
Santos Tour Down Under,117,HERREGODTS Rune,UAE Team Emirates - XRG
Santos Tour Down Under,118,MACIEJUK Filip,Red Bull - BORA - hansgrohe
Santos Tour Down Under,119,GRONDIN Donavan,Arkéa - B&B Hotels
